Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C17, C26, C8",0603,6,2u2,C23630
"C10, C11",0402,2,12p,C1547
C14,0402,1,22n,
"C15, C16",1206,2,47u,C132148
"C18, C2, C20, C21, C22, C23, C24, C25, C3, C4, C5, C6, C7, C9",0402,14,100n,C1525
C19,0402,1,10n,C15195
"C27, C28",0805,2,100n,
C29,0805,1,2u2,
D1,0603,1,White,
D2,D_SOD-123,1,B5819W,C8598
F1,0805,1,1A,C209741
FB1,0805,1,100 @ 100MHz,C1015
H1,ER_TFT128-1,1,ER_TFT128-1,
H2,MountingHole_3.2mm_M3_Pad_Via,1,MountingHole,
J1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,C397452
J3,503398-1892,1,Micro_SD_Card,C428492
J4,Molex_Micro-Latch_53253-0470_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_3_Bridged12,
L1,L_7.3x7.3_H4.5,1,4u7,C182156
Q1,TSOT-23,1,Q_PMOS_GSD,C15127
"R1, R11",0402,2,10k,C25744
"R10, R16",0402,2,100k,C25741
"R12, R14, R4",0402,3,47R,C25118
"R13, R15",0805,2,56R,C17757
R17,0805,1,10R,
"R2, R3",0402,2,10R,C25077
"R5, R6, R7",0402,3,1k5,C25867
R8,0402,1,33k,C25779
R9,0603,1,560k,C23203
SW1,Panasonic_EVQPUL_EVQPUC,1,SW_Omron_B3FS,
SW2,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U2,TSOT-23-6,1,TPMP2359D,C2959845
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U4,SOT-23-6,1,USBLC6-2,C7519
U5,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U6,SOT-23-6,1,USBLC6-4,C111212
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz 12pF,C9006
