Designator,Mid X,Mid Y,Rotation,Layer
C1,-15.4432,4.318,270.0,top
C10,-20.32,4.2,0.0,top
C11,-20.32,-1.6,180.0,top
C12,-4.62,-7.48,0.0,top
C13,0.508,5.08,90.0,top
C14,10.16,-4.318,90.0,top
C15,9.25,-0.75,270.0,top
C16,15.08,-9.779,270.0,top
C17,-7.747,-19.939,0.0,top
C18,-12.319,-16.256,90.0,top
C19,-8.7,17.145,180.0,top
C2,-13.97,5.588,90.0,top
C20,-13.1572,14.224,270.0,top
C21,0.269,-14.478,270.0,top
C22,-1.27,-16.256,0.0,top
C23,0.254,-18.034,270.0,top
C24,-5.0,-12.827,0.0,top
C25,-10.8,17.145,180.0,top
C26,-11.7348,10.16,180.0,top
C27,-1.5,19.0,0.0,bottom
C28,-0.6,-8.55,180.0,bottom
C29,-7.15,-11.65,270.0,bottom
C3,-11.2,7.4,0.0,top
C4,-11.176,-7.62,180.0,top
C5,-1.62,-6.08,0.0,top
C6,-1.624,5.5,90.0,top
C7,-15.3,-2.0,90.0,top
C8,-13.8,-8.8,300.0,top
C9,-14.8,-13.8,210.0,top
D1,2.6,-6.8,180.0,top
D2,20.25,-0.75,90.0,top
F1,17.28,-9.271,90.0,top
FB1,15.78,-6.38,180.0,top
H1,0.0,0.0,0.0,bottom
J1,17.35025,9.98823,120.0,top
J3,-6.55,22.0,0.0,top
J4,8.961,-13.256,270.0,top
L1,14.732,-1.016,90.0,top
Q1,13.48,-14.08,180.0,top
R1,-15.494,-5.588,210.0,top
R10,12.58,-9.88,180.0,top
R11,8.636,-7.874,90.0,top
R12,-11.0,-12.48,270.0,top
R13,-2.079,-14.478,180.0,top
R14,-13.52,-16.28,270.0,top
R15,-2.059,-18.034,0.0,top
R16,-7.5,-12.827,0.0,top
R17,-4.5,-8.55,180.0,bottom
R2,-13.97,7.4,0.0,top
R3,-14.732,-6.858,210.0,top
R4,-16.51,0.25,0.0,top
R5,-0.2,-4.2,90.0,top
R6,-8.001,8.636,0.0,top
R7,-10.16,8.636,180.0,top
R8,7.08,-8.38,0.0,top
R9,7.68,-9.78,0.0,top
SW1,-17.018,-9.902,120.0,top
SW2,-17.018,9.906,240.0,top
U1,-7.6708,0.0,0.0,top
U2,11.43,-7.366,0.0,top
U3,-7.747,-16.256,0.0,top
U4,3.128,-16.256,0.0,top
U5,-9.75,13.716,180.0,top
U6,10.668,7.112,0.0,top
Y1,-20.32,1.27,90.0,top
