Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2u2","C_0603_1608Metric",-15.443200,4.318000,-90.000000,top
"C2","100n","C_0402_1005Metric",-13.970000,5.588000,90.000000,top
"C3","100n","C_0402_1005Metric",-11.200000,7.400000,0.000000,top
"C4","100n","C_0402_1005Metric",-11.176000,-7.620000,180.000000,top
"C5","100n","C_0402_1005Metric",-1.620000,-6.080000,0.000000,top
"C6","100n","C_0402_1005Metric",-1.624000,5.500000,90.000000,top
"C7","100n","C_0402_1005Metric",-15.300000,-2.000000,90.000000,top
"C8","2u2","C_0603_1608Metric",-13.800000,-8.800000,-60.000000,top
"C9","100n","C_0402_1005Metric",-14.800000,-13.800000,-150.000000,top
"C10","12p","C_0402_1005Metric",-20.320000,4.200000,0.000000,top
"C11","12p","C_0402_1005Metric",-20.320000,-1.600000,180.000000,top
"C12","2u2","C_0603_1608Metric",-4.620000,-7.480000,0.000000,top
"C13","2u2","C_0603_1608Metric",0.508000,5.080000,90.000000,top
"C14","22n","C_0402_1005Metric",10.160000,-4.318000,90.000000,top
"C15","47u","C_1210_3225Metric",9.000000,-0.750000,-90.000000,top
"C16","47u","C_1210_3225Metric",15.250000,-10.000000,-90.000000,top
"C17","2u2","C_0603_1608Metric",-7.747000,-19.939000,0.000000,top
"C18","100n","C_0402_1005Metric",-12.319000,-16.256000,90.000000,top
"C19","10n","C_0402_1005Metric",-8.700000,17.145000,180.000000,top
"C20","100n","C_0402_1005Metric",-13.157200,14.224000,-90.000000,top
"C21","100n","C_0402_1005Metric",0.269000,-14.478000,-90.000000,top
"C22","100n","C_0402_1005Metric",-1.270000,-16.256000,0.000000,top
"C23","100n","C_0402_1005Metric",0.254000,-18.034000,-90.000000,top
"C24","100n","C_0402_1005Metric",-5.000000,-12.827000,0.000000,top
"C25","100n","C_0402_1005Metric",-10.800000,17.145000,180.000000,top
"C26","2u2","C_0603_1608Metric",-11.734800,10.160000,180.000000,top
"D1","White","LED_0603_1608Metric",2.600000,-6.800000,180.000000,top
"D2","B5819W","D_SOD-123",20.250000,-0.750000,90.000000,top
"FB1","100 @ 100MHz","L_0805_2012Metric",15.500000,-6.500000,180.000000,top
"H3","~","JLC_Tooling",-11.500000,20.190000,0.000000,top
"H4","~","JLC_Tooling",23.000000,0.000000,0.000000,top
"H5","~","JLC_Tooling",-11.500000,-20.250000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_XKB_U254-051T-4BH83-F1S",17.350250,9.988230,120.000000,top
"J3","Micro_SD_Card","503398-1892",-6.550000,22.000000,0.000000,top
"L1","4u7","L_7.3x7.3_H4.5",14.732000,-1.016000,90.000000,top
"Q1","Q_PMOS_GSD","TSOT-23",13.480000,-14.250000,180.000000,top
"R1","10k","R_0402_1005Metric",-15.494000,-5.588000,-150.000000,top
"R2","10R","R_0402_1005Metric",-13.970000,7.400000,0.000000,top
"R3","10R","R_0402_1005Metric",-14.732000,-6.858000,-150.000000,top
"R4","47R","R_0402_1005Metric",-16.510000,0.250000,0.000000,top
"R5","1k5","R_0402_1005Metric",-0.200000,-4.200000,90.000000,top
"R6","1k5","R_0402_1005Metric",-8.001000,8.636000,0.000000,top
"R7","1k5","R_0402_1005Metric",-10.160000,8.636000,180.000000,top
"R8","33k","R_0402_1005Metric",7.080000,-8.380000,0.000000,top
"R9","560k","R_0603_1608Metric",7.680000,-9.780000,0.000000,top
"R10","100k","R_0402_1005Metric",12.580000,-9.880000,180.000000,top
"R11","10k","R_0402_1005Metric",8.636000,-7.874000,90.000000,top
"R12","47R","R_0402_1005Metric",-11.000000,-12.480000,-90.000000,top
"R13","56R","R_0805_2012Metric",-2.079000,-14.478000,180.000000,top
"R14","47R","R_0402_1005Metric",-13.520000,-16.280000,-90.000000,top
"R15","56R","R_0805_2012Metric",-2.059000,-18.034000,0.000000,top
"R16","100k","R_0402_1005Metric",-7.500000,-12.827000,0.000000,top
"SW1","SW_Omron_B3FS","Panasonic_EVQPUL_EVQPUC",-17.018000,-9.902000,120.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",-17.018000,9.906000,-120.000000,top
"U1","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",-7.670800,0.000000,0.000000,top
"U2","TPMP2359D","TSOT-23-6",11.430000,-7.366000,0.000000,top
"U3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",-7.747000,-16.256000,0.000000,top
"U4","USBLC6-2","SOT-23-6",3.128000,-16.256000,0.000000,top
"U5","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",-9.750000,13.716000,180.000000,top
"U6","USBLC6-2","SOT-23-6",10.668000,7.112000,0.000000,top
"Y1","25MHz 12pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-20.320000,1.270000,90.000000,top
